代码	名称	涨幅%	现价	涨跌	涨速%	开盘%	开盘换手Z	量比	涨跌数	涨停数	跌停数	3日涨幅%	总金额	开盘金额	换手%	换手Z	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	开盘昨比%	连涨天	昨涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	
880628	钒电池	-1.69	1558.56	-26.72	0.07	-0.20	          0.03	  0.75	7|23	0	0	-3.67	2832911.25	23921.88	          3.49	          6.38	          2.30	          0.21	27058.38	-118029.21	  -0.13	0.75	-3	-1.33	-2.88	-3.19	5.95	21.31	
880727	盐湖提锂	-1.77	1399.94	-25.17	0.00	-0.15	          0.02	  1.12	9|35	0	0	-2.28	5775977.50	38868.13	          2.86	          4.92	          1.69	          0.60	40561.87	33958.30	   0.02	0.75	-1	0.26	-0.53	-3.09	5.63	15.18	
880618	化肥概念	-1.79	1249.98	-22.84	0.01	0.33	          0.06	  1.23	17|49	2	1	0.41	6425853.50	89615.17	          6.45	         11.28	          1.62	          0.48	43234.92	-246865.92	  -0.17	1.44	-1	1.80	0.76	0.77	11.15	22.09	
880612	镍金属	-1.94	1465.53	-28.95	0.00	-0.52	          0.04	  1.27	7|38	0	0	-3.94	5927445.50	64922.74	          3.16	          5.73	          1.63	          0.31	40127.28	-406483.34	  -0.22	1.13	-4	-1.02	-2.79	-8.77	2.03	22.56	
880521	黄金概念	-2.02	1882.13	-38.75	0.06	-0.74	          0.03	  1.16	17|62	0	0	-4.69	9339434.00	110942.04	          3.11	          5.35	          1.67	          0.35	64994.51	-638994.00	  -0.19	1.39	-4	-1.92	-4.70	-11.31	-2.64	16.98	
880627	超临界发电	-2.04	1736.41	-36.15	0.02	0.01	          0.06	  0.92	12|73	2	1	-2.61	7730022.00	123039.72	          4.34	          9.18	          2.02	          0.24	64931.43	-380711.13	  -0.20	1.39	-2	-1.20	-1.19	0.91	11.20	21.99	
880505	稀缺资源	-2.16	1492.11	-32.87	0.02	-0.27	          0.03	  1.20	10|53	0	0	-3.45	10581828.00	113803.21	          3.40	          5.77	          1.73	          0.49	76050.43	-621756.44	  -0.18	1.21	-2	-1.53	-3.10	-8.86	6.83	28.19	
880715	磷概念	-2.30	3188.11	-75.19	0.04	0.04	          0.06	  1.29	12|44	0	0	-1.28	6755717.50	87175.73	          5.84	         10.39	          1.70	          0.56	47627.47	-407206.50	  -0.27	1.34	-1	0.80	0.44	-2.34	10.02	23.84	
880899	钴金属	-2.34	1434.73	-34.38	0.03	-0.72	          0.05	  1.39	6|31	0	1	-3.38	7904165.00	113707.37	          3.99	          7.08	          1.60	          0.39	52458.29	-817404.13	  -0.34	1.47	-3	-0.37	-2.16	-8.43	3.38	20.70	
880910	草甘膦	-2.56	2165.63	-56.90	0.07	-0.02	          0.03	  0.99	0|15	0	0	-0.86	825717.31	7245.69	          4.68	          7.61	          1.37	          0.21	4721.51	-40412.62	  -0.17	0.71	-2	-0.24	0.58	-0.89	5.12	17.01	
#数据来源:通达信
